name,ingredients,cuisine,description,instructions
Stuffed Eggplant,"Eggplant, Minced meat or tofu, Onion, Tomato, Spices",Middle Eastern,"Eggplant filled with vegetables, grains, or meat and baked or stewed.",Step-1: Hollow eggplants; Step-2: Sauté filling ingredients; Step-3: Stuff eggplants; Step-4: Bake 25 min; Step-5: Serve warm.
Fattoush with Pomegranate,"Lettuce, Tomato, Cucumber, Pita, Pomegranate, Lemon juice",Middle Eastern,"Fresh Levantine salad with lettuce, tomatoes, cucumbers, radishes, toasted pita, and pomegranate seeds.",Step-1: Chop vegetables; Step-2: Toast pita; Step-3: Mix all ingredients; Step-4: Add lemon juice; Step-5: Serve chilled.
Beetroot Hummus,"Beetroot, Chickpeas, Tahini, Lemon juice, Garlic",Middle Eastern,Smooth beetroot-infused chickpea dip with tahini and lemon.,"Step-1: Boil beetroot; Step-2: Blend with chickpeas, tahini, lemon, garlic; Step-3: Adjust salt; Step-4: Chill; Step-5: Serve with bread."
Za’atar Bread,"Flour, Yeast, Olive oil, Za’atar, Salt",Middle Eastern,"Flatbread sprinkled with za’atar spice blend, baked until golden.",Step-1: Prepare dough; Step-2: Roll flat; Step-3: Brush with olive oil and sprinkle za’atar; Step-4: Bake 15 min; Step-5: Serve warm.
Arabian Lentil Soup,"Red lentils, Onion, Garlic, Tomato, Spices",Arabian,"Spiced soup with red lentils, tomatoes, and Middle Eastern spices.","Step-1: Sauté onion, garlic, spices; Step-2: Add lentils and tomato; Step-3: Add water and simmer 20 min; Step-4: Blend if desired; Step-5: Serve warm."
Chicken Shawarma Rice Bowl,"Chicken, Rice, Yogurt, Garlic, Lemon, Spices",Arabian,"Deconstructed shawarma with rice, grilled chicken, vegetables, and sauces.",Step-1: Marinate chicken in yogurt and spices 1 hr; Step-2: Grill chicken; Step-3: Cook rice; Step-4: Layer rice and chicken; Step-5: Serve with salad.
Prawn Pulao,"Prawns, Rice, Onion, Garlic, Spices",Bengali,"Fragrant rice dish with prawns, spices, and sometimes nuts.",Step-1: Sauté onion and garlic; Step-2: Add prawns; Step-3: Add rice and water; Step-4: Cover and simmer until rice cooked; Step-5: Serve hot.
Dhokar Dalna,"Lentil cake (Chana dal), Onion, Tomato, Spices",Bengali,Bengali lentil cakes cooked in spicy tomato-based curry.,Step-1: Soak chana dal and grind into paste; Step-2: Steam lentil cakes; Step-3: Sauté onion and tomato; Step-4: Add cakes and simmer in gravy; Step-5: Serve with rice.
Chingri Bhapa,"Prawns, Mustard paste, Coconut, Mustard oil",Bengali,"Steamed Bengali prawns with mustard, coconut, and spices.",Step-1: Mix prawns with mustard paste and coconut; Step-2: Steam 15 min; Step-3: Heat mustard oil; Step-4: Pour over prawns; Step-5: Serve hot.
Doi Maach,"Fish, Yogurt, Onion, Garlic, Mustard oil",Bengali,Bengali fish curry cooked in a yogurt-based sauce.,Step-1: Marinate fish in yogurt and spices; Step-2: Sauté onion and garlic; Step-3: Add fish and cook 10 min; Step-4: Add sauce and simmer; Step-5: Serve with rice.
Vegetable Tagine,"Carrot, Zucchini, Chickpeas, Onion, Tomato, Spices",Moroccan,Moroccan slow-cooked vegetable stew with aromatic spices.,Step-1: Sauté onion; Step-2: Add vegetables and spices; Step-3: Add chickpeas and simmer; Step-4: Cook 20 min; Step-5: Serve hot.
Chicken Tagine with Apricot,"Chicken, Onion, Apricot, Almonds, Spices",Moroccan,"Moroccan chicken stew cooked with apricots, almonds, and spices.",Step-1: Sauté onion and spices; Step-2: Brown chicken; Step-3: Add apricot and water; Step-4: Simmer 25 min; Step-5: Garnish with almonds and serve.
Harira Lentil Stew,"Lentils, Chickpeas, Tomato, Celery, Onion, Spices",Moroccan,"Thick Moroccan soup/stew with lentils, chickpeas, tomatoes, and spices.","Step-1: Sauté onion, celery, spices; Step-2: Add lentils, chickpeas, tomato; Step-3: Simmer 30 min; Step-4: Adjust seasoning; Step-5: Serve hot."
Labneh Stuffed Zucchini,"Zucchini, Labneh, Garlic, Mint, Olive oil",Middle Eastern,Zucchini stuffed with labneh (strained yogurt) and herbs.,Step-1: Hollow zucchini; Step-2: Mix labneh with garlic and mint; Step-3: Stuff zucchini; Step-4: Bake 15 min; Step-5: Serve warm.
Muhammara Flatbread,"Flour, Roasted red pepper, Walnut, Garlic, Olive oil",Middle Eastern,Flatbread topped with spicy roasted red pepper and walnut dip.,"Step-1: Prepare dough; Step-2: Blend roasted pepper, walnut, garlic, olive oil; Step-3: Spread on flatbread; Step-4: Bake 15 min; Step-5: Serve hot."
Falafel Salad,"Paneer, Fenugreek leaves, Cream, Onion, Spices",Indian,"Salad with crispy falafel, vegetables, and dressing.",Step-1: Sauté onion; Step-2: Add fenugreek leaves; Step-3: Add paneer cubes and cream; Step-4: Simmer 10 min; Step-5: Serve with naan.
Stuffed Grape Leaves,"Eggplant, Onion, Tomato, Garlic, Spices",Indian,"Grape leaves stuffed with rice, herbs, and spices (Dolma).",Step-1: Roast eggplant; Step-2: Mash; Step-3: Sauté onion and tomato; Step-4: Add mashed eggplant and spices; Step-5: Serve hot.
Mujaddara,"Cauliflower, Yogurt, Spices, Lemon",Indian,"Lentils and rice topped with caramelized onions, Levantine comfort food.",Step-1: Marinate cauliflower in yogurt and spices 30 min; Step-2: Bake or grill 20 min; Step-3: Drizzle lemon juice; Step-4: Serve hot; Step-5: Garnish with cilantro.
Tomato Chutney,"Tomato, Garlic, Chili, Sugar, Lemon juice",Bengali,"Spiced tomato relish, often served as a condiment with Indian dishes.",Step-1: Sauté garlic and chili; Step-2: Add chopped tomatoes and sugar; Step-3: Cook until soft; Step-4: Blend; Step-5: Add lemon juice and serve.
Morog Polao,"Chicken, Rice, Onion, Garlic, Ghee, Spices",Bengali,"Aromatic chicken pilaf with rice, spices, and sometimes nuts.","Step-1: Sauté onion, garlic, and spices; Step-2: Brown chicken; Step-3: Add rice and water; Step-4: Simmer until cooked; Step-5: Serve hot."
Za’atar Roasted Chicken,"Chicken, Olive oil, Za’atar, Garlic, Lemon",Middle Eastern,Chicken roasted with Middle Eastern za’atar spice blend.,"Step-1: Marinate chicken in olive oil, za’atar, garlic, lemon 1 hr; Step-2: Roast 35 min; Step-3: Rest 5 min; Step-4: Slice; Step-5: Serve hot."
Lentil & Spinach Stew,"Lentils, Spinach, Onion, Garlic, Spices",Middle Eastern,"Hearty stew with lentils, spinach, and aromatic spices.",Step-1: Sauté onion and garlic; Step-2: Add lentils and water; Step-3: Cook until tender; Step-4: Add spinach and simmer 5 min; Step-5: Serve warm.
Chicken Kofta Curry,"Ground chicken, Onion, Garlic, Spices, Tomato",Middle Eastern,Meatball-style chicken cooked in spiced curry sauce.,"Step-1: Mix chicken with onion, garlic, and spices; Step-2: Shape into balls; Step-3: Fry lightly; Step-4: Simmer in tomato gravy 10 min; Step-5: Serve with rice."
Harissa Roasted Cauliflower,"Cauliflower, Harissa paste, Olive oil",Moroccan,Cauliflower roasted with North African harissa paste.,Step-1: Preheat oven; Step-2: Toss cauliflower with harissa and olive oil; Step-3: Roast 25 min; Step-4: Stir halfway; Step-5: Serve hot.
Moroccan Carrot & Chickpea Soup,"Carrot, Chickpeas, Onion, Garlic, Spices",Moroccan,Spiced soup with carrots and chickpeas.,"Step-1: Sauté onion and garlic; Step-2: Add carrot, chickpeas, and spices; Step-3: Add water and simmer 20 min; Step-4: Blend partially; Step-5: Serve warm."
Chicken Tagine with Lemon,"Chicken, Preserved lemon, Onion, Garlic, Spices",Moroccan,Slow-cooked chicken with preserved lemons and olives.,Step-1: Sauté onion and garlic; Step-2: Brown chicken; Step-3: Add preserved lemon and water; Step-4: Simmer 30 min; Step-5: Serve hot.
Paneer Butter Masala,"Paneer, Tomato, Onion, Cream, Spices",Indian,Paneer cubes in creamy tomato-based curry.,Step-1: Sauté onion and tomato; Step-2: Add spices; Step-3: Add paneer; Step-4: Pour cream and simmer 5 min; Step-5: Serve with naan.
Baida Roti,"Flour, Eggs, Onion, Spices",Indian,Stuffed flatbread with egg and spices.,"Step-1: Make thin dough; Step-2: Beat eggs with onion and spices; Step-3: Roll dough, add egg mixture; Step-4: Cook on skillet until golden; Step-5: Serve hot."
Aloo Methi,"Potato, Fenugreek leaves, Onion, Spices",Indian,Potatoes stir-fried with fenugreek leaves and spices.,Step-1: Sauté onion; Step-2: Add potato and spices; Step-3: Add methi leaves; Step-4: Cook until potatoes soft; Step-5: Serve warm.
Pumpkin Halwa,"Pumpkin, Sugar, Ghee, Cardamom",Indian,"Sweet pudding made from pumpkin, sugar, and ghee.",Step-1: Grate pumpkin; Step-2: Sauté in ghee; Step-3: Add sugar and cardamom; Step-4: Cook until thick; Step-5: Serve warm.
Thai Green Curry Tofu,"Tofu, Coconut milk, Green curry paste, Vegetables",Thai,Tofu in coconut-based green curry with vegetables.,Step-1: Sauté green curry paste; Step-2: Add coconut milk; Step-3: Add vegetables and tofu; Step-4: Simmer 10 min; Step-5: Serve with rice.
Thai Mango Salad,"Mango, Carrot, Cucumber, Chili, Lime, Peanuts",Thai,"Fresh salad with mango, herbs, and light dressing.","Step-1: Julienne mango, carrot, cucumber; Step-2: Mix with chili and lime; Step-3: Toss with peanuts; Step-4: Chill 10 min; Step-5: Serve fresh."
Pad Thai with Tofu,"Rice noodles, Tofu, Egg, Bean sprouts, Peanuts, Soy sauce",Thai,"Stir-fried rice noodles with tofu, vegetables, and peanuts.",Step-1: Soak noodles; Step-2: Sauté tofu and egg; Step-3: Add vegetables; Step-4: Mix noodles and sauce; Step-5: Serve hot with peanuts.
Thai Basil Eggplant,"Eggplant, Basil, Garlic, Chili, Soy sauce",Thai,Stir-fried eggplant with Thai basil and chili.,Step-1: Sauté garlic and chili; Step-2: Add eggplant and stir-fry; Step-3: Add soy sauce; Step-4: Add basil and cook 2 min; Step-5: Serve hot.
Tofu Satay,"Tofu, Peanut butter, Soy sauce, Garlic, Lime",Thai,Grilled tofu skewers served with peanut sauce.,Step-1: Marinate tofu in peanut sauce; Step-2: Skewer tofu; Step-3: Grill 10 min; Step-4: Serve with leftover peanut sauce; Step-5: Garnish with lime.
Veggie Spring Rolls,"Rice paper, Carrot, Cabbage, Bell pepper, Tofu",Chinese,"Rolls filled with vegetables, either fried or fresh.",Step-1: Slice vegetables and tofu; Step-2: Soften rice paper; Step-3: Fill and roll tightly; Step-4: Fry or bake 10 min; Step-5: Serve with dipping sauce.
Vegetable Lo Mein,"Egg noodles, Carrot, Cabbage, Bell pepper, Soy sauce",Chinese,Stir-fried noodles with vegetables in soy-based sauce.,Step-1: Cook noodles; Step-2: Sauté vegetables; Step-3: Toss noodles with vegetables and soy sauce; Step-4: Stir-fry 2 min; Step-5: Serve hot.
Veggie Dumplings,"Flour, Cabbage, Carrot, Tofu, Soy sauce",Chinese,Steamed or fried dumplings stuffed with vegetables.,Step-1: Prepare dough; Step-2: Mix chopped vegetables and tofu; Step-3: Fill dumpling wrappers; Step-4: Steam or fry 10 min; Step-5: Serve with dipping sauce.
Labneh Stuffed Peppers,"Bell peppers, Labneh, Garlic, Mint, Olive oil",Middle Eastern,Mini peppers filled with creamy labneh and herbs.,"Step-1: Hollow peppers; Step-2: Mix labneh, garlic, mint; Step-3: Stuff peppers; Step-4: Bake 15 min; Step-5: Serve warm."
Muhammara Dip,"Roasted red pepper, Walnut, Garlic, Olive oil, Lemon juice",Middle Eastern,Spicy roasted red pepper and walnut dip.,"Step-1: Roast red peppers; Step-2: Blend with walnut, garlic, olive oil, lemon; Step-3: Adjust seasoning; Step-4: Chill; Step-5: Serve with bread."
Date & Nut Energy Balls,"Dates, Almonds, Cashews, Coconut, Cardamom",Arabian,"Sweet no-bake balls made from dates, nuts, and seeds.",Step-1: Blend dates and nuts; Step-2: Add cardamom and coconut; Step-3: Roll into balls; Step-4: Chill 10 min; Step-5: Serve as snack.
Orange Blossom Pudding,"Milk, Sugar, Cornstarch, Orange blossom water",Arabian,Creamy dessert flavored with orange blossom water.,"Step-1: Mix milk, sugar, cornstarch; Step-2: Heat until thick; Step-3: Add orange blossom water; Step-4: Pour into bowls; Step-5: Chill and serve."
Almond Ma’amoul,"Semolina, Almonds, Sugar, Butter",Arabian,Middle Eastern shortbread filled with almond paste.,Step-1: Prepare dough; Step-2: Make almond filling; Step-3: Fill dough; Step-4: Bake 20 min; Step-5: Serve warm.
Thai Basil Chicken (Pad Krapow),"Chicken, Basil, Garlic, Chili, Soy sauce, Olive oil",Thai,Stir-fried chicken with Thai basil and chili.,Step-1: Sauté garlic and chili in oil; Step-2: Add chicken and cook until browned; Step-3: Add soy sauce; Step-4: Stir in basil leaves; Step-5: Serve with rice.
Tom Kha Soup,"Coconut milk, Galangal, Mushroom, Lemon grass, Lime, Chili",Thai,Coconut milk-based Thai soup with herbs and vegetables.,Step-1: Boil coconut milk with galangal and lemongrass; Step-2: Add mushrooms and chili; Step-3: Simmer 10 min; Step-4: Add lime juice; Step-5: Serve hot.
Thai Pineapple Fried Rice,"Rice, Pineapple, Carrot, Bell pepper, Soy sauce, Cashews",Thai,"Stir-fried rice with pineapple, vegetables, and optional protein.",Step-1: Sauté vegetables; Step-2: Add cooked rice; Step-3: Stir in pineapple and soy sauce; Step-4: Add cashews; Step-5: Serve hot.
Green Curry with Tofu,"Tofu, Coconut milk, Green curry paste, Bell pepper, Basil",Thai,Tofu and vegetables cooked in Thai green curry sauce.,Step-1: Sauté curry paste; Step-2: Add coconut milk; Step-3: Add tofu and vegetables; Step-4: Simmer 10 min; Step-5: Serve with rice.
Pad See Ew,"Rice noodles, Soy sauce, Broccoli, Egg, Garlic, Tofu",Thai,Stir-fried wide rice noodles with vegetables in soy sauce.,Step-1: Cook noodles; Step-2: Sauté garlic and broccoli; Step-3: Add egg and tofu; Step-4: Toss with noodles and soy sauce; Step-5: Serve hot.
Vegetable Spring Rolls,"Rice paper, Carrot, Cabbage, Bell pepper, Tofu",Chinese,Fried or fresh rolls filled with vegetables.,Step-1: Slice vegetables and tofu; Step-2: Soften rice paper; Step-3: Fill and roll; Step-4: Fry or bake 10 min; Step-5: Serve with dipping sauce.
Sweet & Sour Tofu,"Tofu, Bell pepper, Pineapple, Vinegar, Sugar, Soy sauce",Chinese,Tofu stir-fried with vegetables in sweet and sour sauce.,"Step-1: Fry tofu; Step-2: Sauté bell pepper; Step-3: Add pineapple, sugar, vinegar, soy sauce; Step-4: Toss tofu in sauce; Step-5: Serve hot with rice."
Kung Pao Vegetables,"Bell pepper, Carrot, Peanuts, Soy sauce, Garlic, Chili",Chinese,Stir-fried vegetables with peanuts in spicy sauce.,Step-1: Sauté garlic and chili; Step-2: Add vegetables; Step-3: Stir-fry 5 min; Step-4: Add peanuts and soy sauce; Step-5: Serve hot.
Veggie Lo Mein,"Egg noodles, Carrot, Cabbage, Bell pepper, Soy sauce",Chinese,Stir-fried noodles with vegetables in soy sauce.,Step-1: Cook noodles; Step-2: Sauté vegetables; Step-3: Toss noodles with vegetables and soy sauce; Step-4: Stir-fry 2 min; Step-5: Serve hot.
Mapo Tofu (Vegetarian),"Tofu, Garlic, Ginger, Soy sauce, Chili, Green onion",Chinese,"Tofu cooked in spicy Sichuan sauce, vegetarian version.",Step-1: Sauté garlic and ginger; Step-2: Add tofu and soy sauce; Step-3: Add chili; Step-4: Simmer 5 min; Step-5: Garnish with green onion and serve.
Caprese Salad,"Tomato, Mozzarella, Basil, Olive oil, Balsamic",Italian,"Fresh mozzarella, tomatoes, and basil drizzled with olive oil.",Step-1: Slice tomato and mozzarella; Step-2: Layer with basil; Step-3: Drizzle olive oil and balsamic; Step-4: Season with salt; Step-5: Serve fresh.
Pesto Pasta,"Pasta, Basil, Pine nuts, Garlic, Olive oil, Parmesan",Italian,Pasta tossed with basil pesto sauce.,"Step-1: Cook pasta; Step-2: Blend basil, pine nuts, garlic, olive oil, Parmesan; Step-3: Toss pasta with pesto; Step-4: Serve hot; Step-5: Garnish with Parmesan."
Eggplant Parmesan,"Eggplant, Tomato sauce, Mozzarella, Parmesan, Basil",Italian,Baked eggplant slices with tomato sauce and cheese.,Step-1: Slice and roast eggplant; Step-2: Layer eggplant with tomato sauce and cheese; Step-3: Bake 25 min; Step-4: Garnish with basil; Step-5: Serve hot.
Mushroom Risotto,"Arborio rice, Mushroom, Onion, Garlic, Vegetable broth",Italian,Creamy Italian rice dish with mushrooms and Parmesan.,Step-1: Sauté onion and garlic; Step-2: Add mushrooms; Step-3: Add rice and gradually broth; Step-4: Stir until creamy; Step-5: Serve hot.
Minestrone Soup,"Carrot, Celery, Zucchini, Tomato, Pasta, Beans",Italian,Italian vegetable soup with pasta or beans.,Step-1: Sauté vegetables; Step-2: Add tomato and beans; Step-3: Add water; Step-4: Simmer 20 min; Step-5: Add pasta and cook 10 min; Step-5: Serve warm.
Margherita Pizza,"Pizza dough, Tomato sauce, Mozzarella, Basil",Italian,"Pizza topped with tomato sauce, mozzarella, and basil.",Step-1: Preheat oven; Step-2: Roll dough; Step-3: Spread sauce; Step-4: Add mozzarella and basil; Step-5: Bake 12–15 min.
Ratatouille,"Eggplant, Zucchini, Bell pepper, Tomato, Onion, Garlic",French,Stewed French vegetables with herbs.,Step-1: Slice vegetables; Step-2: Sauté onion and garlic; Step-3: Add vegetables and cook 20 min; Step-4: Season with herbs; Step-5: Serve warm.
Quiche Lorraine (Vegetarian),"Pie crust, Eggs, Milk, Spinach, Onion, Cheese",French,"Savory baked tart with vegetables, eggs, and cream.",Step-1: Preheat oven; Step-2: Sauté onion and spinach; Step-3: Beat eggs with milk and cheese; Step-4: Fill crust; Step-5: Bake 30 min.
French Onion Soup,"Onion, Butter, Garlic, Vegetable broth, Bread, Cheese",French,"Soup made with caramelized onions and broth, often topped with cheese.",Step-1: Sauté onions in butter; Step-2: Add garlic; Step-3: Add broth and simmer 20 min; Step-4: Serve with toasted bread and cheese on top; Step-5: Broil 5 min.
Coq au Vin (Vegetarian Adaptation),"Mushrooms, Onion, Carrot, Garlic, Vegetable broth",French,"Vegetarian version of chicken braised in wine, using mushrooms or tofu.","Step-1: Sauté onion, garlic, carrot; Step-2: Add mushrooms; Step-3: Add broth and herbs; Step-4: Simmer 25 min; Step-5: Serve hot."
Ratatouille Pasta,"Pasta, Eggplant, Zucchini, Tomato, Olive oil",French/Italian,Pasta tossed with ratatouille vegetables and olive oil.,Step-1: Cook pasta; Step-2: Sauté vegetables; Step-3: Add tomato sauce; Step-4: Toss pasta with sauce; Step-5: Serve hot.
American Veggie Burger,"Veggie patty, Lettuce, Tomato, Bun, Pickles",American,Vegetarian burger patty served in a bun with toppings.,"Step-1: Cook veggie patty; Step-2: Toast buns; Step-3: Assemble burger with lettuce, tomato, pickles; Step-4: Serve with fries; Step-5: Optional: add sauce."
Mac and Cheese,"Pasta, Cheese, Milk, Butter, Flour",American,Pasta baked with creamy cheese sauce.,"Step-1: Cook pasta; Step-2: Make cheese sauce with butter, flour, milk, cheese; Step-3: Combine pasta and sauce; Step-4: Bake optional 15 min; Step-5: Serve hot."
Vegetable Chili,"Kidney beans, Tomato, Onion, Carrot, Bell pepper, Spices",American,"Hearty chili with beans, vegetables, and spices.",Step-1: Sauté onion and vegetables; Step-2: Add tomato and beans; Step-3: Add spices; Step-4: Simmer 20 min; Step-5: Serve hot.
Cornbread,"Cornmeal, Flour, Sugar, Baking powder, Milk, Oil",American,Sweet or savory baked bread made from cornmeal.,Step-1: Preheat oven; Step-2: Mix dry ingredients; Step-3: Add milk and oil; Step-4: Pour into pan; Step-5: Bake 20 min.
Butternut Squash Soup,"Butternut squash, Onion, Garlic, Vegetable broth, Cream",American,Creamy soup made with roasted butternut squash.,Step-1: Sauté onion and garlic; Step-2: Add squash and broth; Step-3: Simmer 20 min; Step-4: Blend until smooth; Step-5: Add cream and serve.
Vegan Macaroni Salad,"Pasta, Carrot, Peas, Vegan mayo, Vinegar",American,Cold pasta salad with vegan dressing and vegetables.,Step-1: Cook pasta; Step-2: Mix vegetables; Step-3: Add vegan mayo and vinegar; Step-4: Chill 30 min; Step-5: Serve cold.
Apple Pie,"Apples, Sugar, Cinnamon, Pie crust, Butter",American,Classic baked dessert with apples and cinnamon in a pastry crust.,Step-1: Preheat oven; Step-2: Slice apples and mix with sugar and cinnamon; Step-3: Fill crust; Step-4: Cover with top crust; Step-5: Bake 45 min.
Brownies,"Cocoa, Flour, Sugar, Butter, Eggs, Vanilla",American,"Dense, chocolate baked squares.","Step-1: Preheat oven; Step-2: Mix butter, sugar, cocoa; Step-3: Add eggs and vanilla; Step-4: Fold in flour; Step-5: Bake 25 min."
Chocolate Chip Cookies,"Flour, Sugar, Butter, Egg, Chocolate chips, Baking soda",American,Classic cookies with chocolate chips.,Step-1: Preheat oven; Step-2: Cream butter and sugar; Step-3: Add egg; Step-4: Mix in flour and chocolate chips; Step-5: Bake 12 min.
Lemon Bars,"Flour, Sugar, Butter, Lemon juice, Eggs",American,Tangy lemon dessert with shortbread crust.,Step-1: Preheat oven; Step-2: Prepare shortbread crust; Step-3: Bake 15 min; Step-4: Mix lemon filling and pour over crust; Step-5: Bake 20 min.
Pancakes,"Flour, Milk, Eggs, Sugar, Baking powder",American,"Fluffy breakfast cakes, often served with syrup.",Step-1: Mix ingredients into batter; Step-2: Heat skillet; Step-3: Pour batter; Step-4: Cook both sides until golden; Step-5: Serve with syrup.
Waffles,"Flour, Eggs, Milk, Sugar, Baking powder, Butter",American,"Crisp, grid-patterned breakfast cake served with toppings.",Step-1: Mix ingredients into batter; Step-2: Heat waffle iron; Step-3: Pour batter; Step-4: Cook until crisp; Step-5: Serve with toppings.
Garlic Bread,"Baguette, Garlic, Butter, Parsley",Italian/American,"Bread topped with garlic, butter, and herbs, baked until crispy.","Step-1: Preheat oven; Step-2: Mix butter, garlic, parsley; Step-3: Spread on sliced baguette; Step-4: Bake 10 min; Step-5: Serve warm."
Bruschetta,"Baguette, Tomato, Garlic, Basil, Olive oil",Italian,"Toasted bread topped with tomatoes, garlic, and olive oil.","Step-1: Toast baguette slices; Step-2: Mix tomato, garlic, basil; Step-3: Spoon mixture on bread; Step-4: Drizzle olive oil; Step-5: Serve immediately."
Fettuccine Alfredo,"Fettuccine, Butter, Cream, Parmesan",Italian,Pasta in creamy Alfredo sauce with Parmesan.,Step-1: Cook pasta; Step-2: Heat butter and cream; Step-3: Add Parmesan; Step-4: Toss pasta in sauce; Step-5: Serve hot.
Risotto Primavera,"Arborio rice, Peas, Carrot, Zucchini, Onion, Vegetable broth",Italian,Creamy risotto with spring vegetables.,"Step-1: Sauté vegetables; Step-2: Add rice; Step-3: Gradually add broth, stir; Step-4: Cook 20 min until creamy; Step-5: Serve hot."
Caprese Skewers,"Cherry tomato, Mozzarella, Basil, Olive oil, Balsamic",Italian,"Mini skewers with mozzarella, cherry tomatoes, and basil.","Step-1: Skewer tomato, mozzarella, basil; Step-2: Drizzle olive oil and balsamic; Step-3: Season with salt; Step-4: Chill 5 min; Step-5: Serve."
Tiramisu (Alcohol-Free),"Mascarpone, Ladyfingers, Coffee, Sugar, Cocoa, Cream",Italian,Coffee-flavored layered dessert with mascarpone cream.,Step-1: Dip ladyfingers in coffee; Step-2: Layer with mascarpone mixture; Step-3: Repeat layers; Step-4: Chill 3-4 hours; Step-5: Dust with cocoa.
Panna Cotta,"Cream, Milk, Sugar, Vanilla, Gelatin",Italian,Italian creamy dessert made with sweetened cream and gelatin.,"Step-1: Heat cream, milk, sugar; Step-2: Add gelatin; Step-3: Pour into molds; Step-4: Chill 4 hours; Step-5: Serve with fruit topping."
Veggie Paella,"Rice, Bell pepper, Peas, Artichoke, Onion, Saffron",Spanish,"Spanish rice dish with saffron, vegetables, and spices.",Step-1: Sauté onion and bell pepper; Step-2: Add rice and saffron; Step-3: Pour water and simmer 15 min; Step-4: Add peas and artichokes; Step-5: Cook until rice tender and serve hot.
Gazpacho,"Tomato, Cucumber, Bell pepper, Garlic, Olive oil, Bread",Spanish,Cold Spanish tomato and vegetable soup.,"Step-1: Chop vegetables; Step-2: Blend with garlic, olive oil, and soaked bread; Step-3: Chill 2 hours; Step-4: Adjust seasoning; Step-5: Serve cold."
Ratatouille Tian,"Eggplant, Zucchini, Tomato, Onion, Olive oil, Herbs",French,"Layered baked ratatouille vegetables, elegantly arranged.",Step-1: Slice vegetables thin; Step-2: Layer in dish; Step-3: Drizzle with olive oil and herbs; Step-4: Bake 35 min; Step-5: Serve hot.
Socca (Chickpea Flatbread),"Chickpea flour, Water, Olive oil, Salt",French,"Thin flatbread made from chickpea flour, often baked or grilled.","Step-1: Mix flour, water, salt into batter; Step-2: Heat skillet with olive oil; Step-3: Pour batter thinly; Step-4: Cook until golden 5 min per side; Step-5: Serve warm."
Ratatouille Tart,"Puff pastry, Zucchini, Eggplant, Tomato, Goat cheese",French,Tart filled with ratatouille vegetables and cheese.,Step-1: Roll pastry; Step-2: Sauté vegetables; Step-3: Layer vegetables on pastry; Step-4: Top with cheese; Step-5: Bake 25 min and serve.
Greek Salad,"Tomato, Cucumber, Onion, Olive, Feta, Olive oil",Mediterranean,"Salad with cucumber, tomatoes, olives, feta, and olive oil.",Step-1: Chop vegetables; Step-2: Mix with olives and feta; Step-3: Drizzle olive oil; Step-4: Toss gently; Step-5: Serve fresh.
Falafel Wrap,"Chickpeas, Garlic, Onion, Cumin, Wrap, Lettuce",Middle Eastern,"Wrap filled with falafel, vegetables, and sauce.","Step-1: Blend chickpeas, garlic, onion, spices; Step-2: Shape into balls; Step-3: Fry until golden; Step-4: Assemble in wrap with lettuce; Step-5: Serve."
Baba Ganoush,"Eggplant, Tahini, Garlic, Lemon juice, Olive oil",Middle Eastern,Smoky eggplant dip with olive oil and seasonings.,"Step-1: Roast eggplant; Step-2: Mash and mix with tahini, garlic, lemon; Step-3: Adjust salt; Step-4: Chill 15 min; Step-5: Serve with bread."
Shakshuka,"Tomato, Bell pepper, Onion, Garlic, Eggs, Spices",Middle Eastern,"Poached eggs in spicy tomato and pepper sauce.","Step-1: Sauté onion, garlic, bell pepper; Step-2: Add tomato and spices; Step-3: Simmer 10 min; Step-4: Crack eggs over sauce; Step-5: Cover and cook 5 min; Serve hot."
Lentil Kofta Curry,"Lentils, Onion, Garlic, Tomato, Spices",Indian,Fried lentil balls served in spiced curry sauce.,Step-1: Cook lentils and mash; Step-2: Shape into balls and fry lightly; Step-3: Prepare tomato-onion gravy; Step-4: Add kofta to gravy and simmer 10 min; Step-5: Serve with rice.
Tofu Tikka Masala,"Tofu, Yogurt, Tomato, Onion, Spices, Cream",Indian,Tofu cooked in creamy spiced tomato sauce.,Step-1: Marinate tofu in yogurt and spices 1 hr; Step-2: Grill tofu; Step-3: Prepare tomato-onion gravy; Step-4: Add tofu and simmer 5 min; Step-5: Serve with naan.
Veggie Quesadilla,"Tortilla, Cheese, Bell pepper, Onion, Spinach",Mexican,"Tortilla filled with cheese and vegetables, grilled.",Step-1: Sauté vegetables; Step-2: Place tortilla in pan; Step-3: Add vegetables and cheese; Step-4: Fold and cook until golden; Step-5: Serve hot.
Mexican Rice,"Rice, Tomato, Onion, Garlic, Corn, Bell pepper",Mexican,"Rice cooked with tomatoes, peppers, and spices.","Step-1: Sauté onion and garlic; Step-2: Add rice and toast 2 min; Step-3: Add tomato, corn, bell pepper, water; Step-4: Cover and simmer 20 min; Step-5: Serve hot."
Guacamole,"Avocado, Tomato, Onion, Garlic, Lime, Cilantro",Mexican,"Creamy avocado dip with lime, onion, and herbs.","Step-1: Mash avocado; Step-2: Mix chopped tomato, onion, garlic; Step-3: Add lime juice; Step-4: Stir in cilantro; Step-5: Serve chilled."
